City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hambantota,6.1241,81.1185,79.48,87,98,18.16,LK,2022-05-13 20:37:29
1,Mataura,-46.1927,168.8643,52.48,97,100,2.51,NZ,2022-05-13 20:37:30
2,Talnakh,69.4865,88.3972,40.21,99,100,6.85,RU,2022-05-13 20:37:30
3,Ribeira Grande,38.5167,-28.7,61.2,77,75,4.61,PT,2022-05-13 20:37:31
4,Serta,39.8085,-8.0988,63.43,49,100,4.9,PT,2022-05-13 20:37:31
5,Werda,-25.2667,23.2833,64.53,27,1,4.54,BW,2022-05-13 20:37:32
6,Olafsvik,64.8945,-23.7142,34.99,66,72,17.83,IS,2022-05-13 20:37:32
7,Puerto Ayora,-0.7393,-90.3518,82.36,90,94,3.0,EC,2022-05-13 20:37:33
8,Egvekinot,66.3167,-179.1667,25.41,84,14,4.14,RU,2022-05-13 20:37:33
9,Punta Arenas,-53.15,-70.9167,44.71,70,75,8.05,CL,2022-05-13 20:34:35
10,Hermanus,-34.4187,19.2345,58.8,73,73,8.41,ZA,2022-05-13 20:36:27
11,Rikitea,-23.1203,-134.9692,77.38,75,87,19.77,PF,2022-05-13 20:37:34
12,Longyearbyen,78.2186,15.6401,22.84,63,0,12.66,SJ,2022-05-13 20:37:34
13,Ushuaia,-54.8,-68.3,42.46,93,75,10.36,AR,2022-05-13 20:37:17
14,Upernavik,72.7868,-56.1549,19.36,81,26,1.48,GL,2022-05-13 20:37:35
15,Malakal,9.5334,31.6605,86.97,49,93,7.52,SS,2022-05-13 20:37:36
16,Constitucion,-35.3333,-72.4167,58.32,61,36,13.38,CL,2022-05-13 20:37:36
17,Batemans Bay,-35.7167,150.1833,62.1,92,41,4.03,AU,2022-05-13 20:37:37
18,Santa Comba,43.0331,-8.8093,62.69,94,99,2.15,ES,2022-05-13 20:37:37
19,New Norfolk,-42.7826,147.0587,52.92,86,100,2.17,AU,2022-05-13 20:37:38
20,Albany,42.6001,-73.9662,84.92,52,30,3.0,US,2022-05-13 20:36:38
21,Castro,-24.7911,-50.0119,59.41,82,0,2.19,BR,2022-05-13 20:37:38
22,Yellowknife,62.456,-114.3525,59.52,33,40,17.27,CA,2022-05-13 20:37:39
23,Souillac,-20.5167,57.5167,73.78,73,40,5.75,MU,2022-05-13 20:37:39
24,Laguna,38.421,-121.4238,80.69,33,0,9.22,US,2022-05-13 20:37:39
25,Dikson,73.5069,80.5464,32.97,98,100,14.34,RU,2022-05-13 20:37:40
26,Busselton,-33.65,115.3333,60.4,70,68,15.93,AU,2022-05-13 20:37:34
27,Port Alfred,-33.5906,26.891,62.33,79,58,11.95,ZA,2022-05-13 20:37:40
28,Hobart,-42.8794,147.3294,53.28,91,75,4.61,AU,2022-05-13 20:33:40
29,Ilulissat,69.2167,-51.1,24.82,68,75,9.22,GL,2022-05-13 20:37:41
30,Wynyard,-41.0,145.7167,60.98,95,100,13.15,AU,2022-05-13 20:37:41
31,Butaritari,3.0707,172.7902,80.67,74,97,7.81,KI,2022-05-13 20:37:42
32,Longyan,25.1072,117.0225,69.51,99,100,2.39,CN,2022-05-13 20:37:42
33,Inhambane,-23.865,35.3833,70.47,76,0,6.26,MZ,2022-05-13 20:37:42
34,Tianpeng,30.9866,103.9393,57.67,96,100,12.46,CN,2022-05-13 20:37:43
35,Arraial Do Cabo,-22.9661,-42.0278,75.16,69,40,6.91,BR,2022-05-13 20:37:43
36,Tuktoyaktuk,69.4541,-133.0374,32.0,93,100,13.8,CA,2022-05-13 20:37:44
37,Hilo,19.7297,-155.09,83.28,70,75,8.99,US,2022-05-13 20:35:58
38,Vila Velha,-20.3297,-40.2925,76.95,78,40,11.5,BR,2022-05-13 20:37:44
39,Cidreira,-30.1811,-50.2056,62.53,74,56,6.4,BR,2022-05-13 20:37:45
40,Beloha,-25.1667,45.05,65.17,87,0,9.66,MG,2022-05-13 20:37:45
41,Sokoto,13.0609,5.239,93.85,30,62,10.74,NG,2022-05-13 20:37:46
42,Ewing,40.2698,-74.7999,72.48,90,100,6.91,US,2022-05-13 20:34:09
43,Georgetown,5.4112,100.3354,82.33,93,20,3.44,MY,2022-05-13 20:35:55
44,Goure,13.9835,10.2704,89.37,10,7,12.53,NE,2022-05-13 20:37:46
45,Bluff,-46.6,168.3333,52.81,90,87,8.63,NZ,2022-05-13 20:36:16
46,Karlshamn,56.1706,14.8619,52.92,83,100,11.74,SE,2022-05-13 20:37:47
47,La Roche-Sur-Yon,46.6667,-1.4333,61.07,67,0,5.75,FR,2022-05-13 20:37:47
48,Arkhangelskoye,55.8549,35.3287,44.53,78,11,10.38,RU,2022-05-13 20:37:53
49,Romanovo,52.6182,81.2271,59.05,47,23,6.85,RU,2022-05-13 20:37:54
50,Bridgetown,13.1,-59.6167,84.69,70,20,19.57,BB,2022-05-13 20:33:07
51,Port Elizabeth,-33.918,25.5701,63.1,76,0,13.8,ZA,2022-05-13 20:37:55
52,Khatanga,71.9667,102.5,21.54,89,100,7.29,RU,2022-05-13 20:37:55
53,Mar Del Plata,-38.0023,-57.5575,57.94,83,100,5.01,AR,2022-05-13 20:35:25
54,Hithadhoo,-0.6,73.0833,82.45,72,100,6.17,MV,2022-05-13 20:37:56
55,Vaini,-21.2,-175.2,75.36,69,20,12.66,TO,2022-05-13 20:37:56
56,Kenai,60.5544,-151.2583,43.03,80,100,3.44,US,2022-05-13 20:35:19
57,Ndjole,-0.1783,10.7649,75.67,96,16,2.08,GA,2022-05-13 20:37:57
58,Jamestown,42.097,-79.2353,78.44,50,75,14.97,US,2022-05-13 20:37:57
59,Port Lincoln,-34.7333,135.8667,62.91,71,55,18.99,AU,2022-05-13 20:37:58
60,Saint George,37.1041,-113.5841,87.64,11,0,4.61,US,2022-05-13 20:36:09
61,Raton,36.9034,-104.4391,78.06,15,0,10.36,US,2022-05-13 20:37:59
62,Tasiilaq,65.6145,-37.6368,30.36,66,42,1.57,GL,2022-05-13 20:37:59
63,Mahebourg,-20.4081,57.7,73.69,73,40,5.75,MU,2022-05-13 20:38:00
64,Ponta Do Sol,32.6667,-17.1,70.0,82,28,4.18,PT,2022-05-13 20:38:00
65,Bongandanga,1.5,21.05,72.9,86,90,1.7,CD,2022-05-13 20:38:01
66,Qaanaaq,77.484,-69.3632,18.48,78,63,1.74,GL,2022-05-13 20:38:01
